symbol,avg_turnover_cr
ABFRL.NS,46.99
ADANIENSOL.NS,344.64
ADANIENT.NS,321.71
ADANIGREEN.NS,201.55
ADANIPORTS.NS,363.82
APEX.NS,28.76
APOLLO.NS,182.0
APOLLOHOSP.NS,362.95
ASHOKLEY.NS,341.64
ASIANPAINT.NS,272.7
AUBANK.NS,194.89
AVALON.NS,117.44
AXISBANK.NS,660.75
BAJAJ-AUTO.NS,284.12
BAJAJFINSV.NS,264.37
BAJAJHLDNG.NS,48.96
BAJFINANCE.NS,892.55
BANDHANBNK.NS,144.09
BANKBARODA.NS,200.57
BDL.NS,249.57
BEL.NS,488.23
BERGEPAINT.NS,28.57
BESTAGRO.NS,11.02
BHARTIARTL.NS,1259.53
BLISSGVS.NS,21.84
BLSE.NS,18.39
BPCL.NS,162.66
BRITANNIA.NS,198.56
CANBK.NS,195.17
CHOLAFIN.NS,261.9
CIPLA.NS,127.75
COALINDIA.NS,293.25
COCHINSHIP.NS,159.0
COFORGE.NS,453.23
CUMMINSIND.NS,256.33
DCMSHRIRAM.NS,25.86
DIVISLAB.NS,444.57
DMART.NS,163.65
DRREDDY.NS,203.16
E2E.NS,90.85
EICHERMOT.NS,384.51
FEDERALBNK.NS,170.06
GARUDA.NS,20.03
GODAVARIB.NS,16.01
GODFRYPHLP.NS,102.45
GOLDIAM.NS,50.13
GRASIM.NS,327.13
GREAVESCOT.NS,40.01
HAL.NS,563.76
HCLTECH.NS,280.58
HDFCBANK.NS,1840.67
HDFCLIFE.NS,190.54
HEROMOTOCO.NS,411.52
HINDALCO.NS,506.75
HINDUNILVR.NS,297.28
HIRECT.NS,14.97
HOMEFIRST.NS,15.74
ICICIBANK.NS,1383.38
IDEA.NS,609.42
IDFCFIRSTB.NS,104.56
INDIGO.NS,273.29
INDOBORAX.NS,31.76
INDUSINDBK.NS,116.57
INFY.NS,1205.58
IRCTC.NS,49.6
IRFC.NS,68.6
ITC.NS,406.8
JINDWORLD.NS,46.14
JPPOWER.NS,105.05
JSWSTEEL.NS,214.87
KEI.NS,299.07
KERNEX.NS,110.68
KIOCL.NS,12.8
KOTAKBANK.NS,375.37
KPITTECH.NS,243.5
KRN.NS,29.9
LT.NS,639.2
LTTS.NS,34.42
M&M.NS,783.38
MARUTI.NS,522.28
MAZDOCK.NS,249.73
MOTHERSON.NS,343.32
MPHASIS.NS,111.86
MUTHOOTFIN.NS,444.96
NACLIND.NS,11.19
NESTLEIND.NS,317.54
NETWEB.NS,1063.43
NEWGEN.NS,73.39
NMDC.NS,164.79
NTPC.NS,287.8
OFSS.NS,234.21
ONGC.NS,300.47
PCJEWELLER.NS,223.34
PERSISTENT.NS,309.11
PFC.NS,343.1
PIDILITIND.NS,173.04
PNB.NS,148.52
POCL.NS,26.22
POLICYBZR.NS,200.48
POLYCAB.NS,229.9
POWERGRID.NS,243.83
PRECWIRE.NS,37.58
PVP.NS,12.39
QUADFUTURE.NS,34.69
RAMCOSYS.NS,17.57
RECLTD.NS,207.56
RELIANCE.NS,1348.37
RPEL.NS,13.72
RVNL.NS,104.72
SAIL.NS,380.52
SBILIFE.NS,165.46
SBIN.NS,1085.03
SUNPHARMA.NS,416.24
SUZLON.NS,274.13
TATACONSUM.NS,147.22
TATAELXSI.NS,87.98
TATAINVEST.NS,28.5
TATAPOWER.NS,143.91
TATASTEEL.NS,427.81
TATVA.NS,11.21
TCS.NS,760.61
TECHM.NS,471.1
TEMBO.NS,17.93
TITAN.NS,471.45
TRENT.NS,318.57
TVSMOTOR.NS,501.55
ULTRACEMCO.NS,274.24
UPL.NS,122.38
VEDL.NS,342.82
VIMTALABS.NS,13.6
WIPRO.NS,213.25
YATRA.NS,27.81
