Date,Time_IST,Mode,Ticker,Direction,TimeFrame,Entry_Price,Qty,SL,Target,MaxHold,Exit_Price,Exit_Time,P&L,P&L_%,Status,Pattern_Rank,Expected_WinRate,Pattern_Factors,Reason,Signal_Indicators
2026-07-29,01:14:16 IST,US,^GSPC,LONG,INTRADAY_1h,7435.34,13,7360.99,7584.05,6,7360.99,21:00:00 IST,-985.88,-1.02,CLOSED,16,62.35,Price>SMA20+EMA9>EMA20+EMA20<EMA50+Close>Open,#16ID Price>SMA20+EMA9>EMA20+EMA20<EMA50+Close>Open | SL Hit,
2026-07-30,01:05:35 IST,US,^SOX,LONG,SWING_1d,10658.62,4,10445.45,11084.96,5,11084.96,2026-07-30 00:00:00 IST,1696.83,3.98,CLOSED,3,60.59,Price<SMA50+EMA20<EMA50+Close<Open,#3SW Price<SMA50+EMA20<EMA50+Close<Open | Target Hit,
2026-07-31,01:14:10 IST,US,^NDX,LONG,INTRADAY_1h,28110.43,3,27829.33,28672.64,6,28351.75,00:00:00 IST,707.09,0.84,CLOSED,6,62.86,Price>SMA20+Price<SMA50+EMA9>EMA20+EMA20<EMA50,#6ID Price>SMA20+Price<SMA50+EMA9>EMA20+EMA20<EMA50 | Expiry 6h,"{""Volume"": 139751000.0, ""Ret"": 0.002212, ""EMA20"": 27868.161217, ""EMA9"": 27912.04169, ""2Red"": 0.0, ""SMA50"": 28189.130977, ""SMA20"": 27741.636719, ""Low"": 28020.814453, ""EMA50"": 28132.698719, ""Open"": 28055.808594, ""High"": 28168.037109, ""RSI14"": 55.16046, ""Close"": 28115.818359}"
2026-07-31,01:14:10 IST,US,^GSPC,LONG,INTRADAY_1h,7442.12,12,7367.7,7590.96,6,7498.18,00:00:00 IST,654.86,0.73,CLOSED,16,62.35,Price>SMA20+EMA9>EMA20+EMA20<EMA50+Close>Open,#16ID Price>SMA20+EMA9>EMA20+EMA20<EMA50+Close>Open | Expiry 6h,"{""Volume"": 320621000.0, ""Ret"": 0.001882, ""EMA20"": 7405.644297, ""EMA9"": 7409.114328, ""2Red"": 0.0, ""SMA50"": 7426.554189, ""SMA20"": 7403.30896, ""Low"": 7424.149902, ""EMA50"": 7425.4437, ""Open"": 7427.850098, ""High"": 7448.75, ""RSI14"": 55.618168, ""Close"": 7441.779785}"
2026-07-31,09:48:19 IST,US,^NDX,LONG,INTRADAY_1h,28099.85,3,27818.85,28661.85,6,28351.75,00:00:00 IST,738.84,0.88,CLOSED,6,62.86,Price>SMA20+Price<SMA50+EMA9>EMA20+EMA20<EMA50,#6ID Price>SMA20+Price<SMA50+EMA9>EMA20+EMA20<EMA50 | Expiry 6h,"{""Open"": 28114.703125, ""EMA9"": 27949.603274, ""EMA20"": 27890.226778, ""EMA50"": 28131.41051, ""Close"": 28099.849609, ""Low"": 28078.162109, ""SMA20"": 27769.039844, ""SMA50"": 28168.709687, ""Volume"": 136392000.0, ""High"": 28132.75, ""Ret"": -0.000568, ""2Red"": 0.0, ""RSI14"": 54.714079}"
2026-07-31,22:30:40 IST,US,^GSPC,LONG,INTRADAY_1h,7469.62,11,7394.92,7619.01,6,7595.14,22:00:00 IST,1364.29,1.66,CLOSED,16,62.35,Price>SMA20+EMA9>EMA20+EMA20<EMA50+Close>Open,#16ID Price>SMA20+EMA9>EMA20+EMA20<EMA50+Close>Open | Expiry 6h,"{""Close"": 7467.189941, ""Low"": 7421.779785, ""SMA50"": 7421.043184, ""EMA9"": 7428.670236, ""Ret"": 0.005654, ""Open"": 7425.459961, ""SMA20"": 7405.795923, ""EMA20"": 7417.20706, ""Volume"": 267257000.0, ""RSI14"": 59.320997, ""2Red"": 0.0, ""High"": 7467.370117, ""EMA50"": 7427.595754}"
2026-08-01,01:15:20 IST,US,^SOX,LONG,SWING_1d,11432.22,4,11203.58,11889.51,5,11203.58,2026-08-03 00:00:00 IST,-923.71,-2.02,CLOSED,3,60.59,Price<SMA50+EMA20<EMA50+Close<Open,#3SW Price<SMA50+EMA20<EMA50+Close<Open | SL Hit,"{""Volume"": 0.0, ""EMA20"": 11966.062376, ""RSI14"": 43.587381, ""Low"": 11231.787109, ""2Red"": 0.0, ""EMA9"": 11511.230674, ""EMA50"": 12086.272196, ""SMA50"": 12738.933203, ""High"": 11885.740234, ""SMA20"": 12054.971973, ""Ret"": 0.011433, ""Close"": 11432.22168, ""Open"": 11715.462891}"
2026-08-05,01:17:01 IST,US,^NDX,LONG,SWING_1d,29815.05,1,29218.75,31007.66,5,29215.83,2026-08-06 20:23:07 IST,-605.18,-2.03,CLOSED,49,76.09,Price>SMA50+EMA9<EMA20,#49SW Price>SMA50+EMA9<EMA20 | SL Hit (intraday),"{""SMA20"": 28804.195215, ""Close"": 29815.054688, ""EMA50"": 28808.688685, ""Open"": 29109.257812, ""Ret"": 0.03608, ""Volume"": 1214152000.0, ""EMA9"": 28623.371081, ""RSI14"": 58.488969, ""High"": 29831.402344, ""SMA50"": 29388.400469, ""2Red"": 0.0, ""Low"": 29109.257812, ""EMA20"": 28757.935581}"
2026-08-05,01:17:01 IST,US,XLK,LONG,SWING_1d,187.55,266,183.8,195.05,5,183.78,2026-08-06 20:23:07 IST,-1012.37,-2.03,CLOSED,75,69.57,Price>SMA50+EMA9<EMA20,#75SW Price>SMA50+EMA9<EMA20 | SL Hit (intraday),"{""SMA20"": 178.592001, ""Close"": 187.550003, ""EMA50"": 177.843942, ""Open"": 182.520004, ""Ret"": 0.053415, ""Volume"": 11151001.0, ""EMA9"": 177.956007, ""RSI14"": 59.045479, ""High"": 187.705002, ""SMA50"": 183.167201, ""2Red"": 0.0, ""Low"": 181.869995, ""EMA20"": 178.56525}"
2026-08-05,15:13:11 IST,US,^SOX,LONG,SWING_1d,12179.26,4,11935.67,12666.43,5,11934.48,2026-08-06 20:23:07 IST,-988.87,-2.03,CLOSED,43,46.96,RSI>50+SMA20<SMA50,#43SW RSI>50+SMA20<SMA50 | SL Hit (intraday),"{""Open"": 11834.769531, ""2Red"": 0.0, ""Low"": 11834.769531, ""EMA50"": 12060.819678, ""High"": 12258.080078, ""Volume"": 0.0, ""Close"": 12179.259766, ""SMA20"": 11969.362402, ""SMA50"": 12733.155156, ""EMA9"": 11616.389397, ""Ret"": 0.065519, ""RSI14"": 51.036819, ""EMA20"": 11930.761336}"
2026-08-05,21:46:25 IST,CRYPTO,TRX-USD,SHORT,INTRADAY_1h,0.3273,10000,0.3322,0.3175,12,0.327,09:49:25 IST,-6.47,-0.2,CLOSED,1,47.24,EMA9>EMA20+Price>SMA20+RSI<50,#1ID EMA9>EMA20+Price>SMA20+RSI<50 | Expiry 12h,"{""Low"": 0.327155, ""Close"": 0.327305, ""EMA9"": 0.327714, ""High"": 0.327798, ""EMA50"": 0.327798, ""2Red"": 1.0, ""SMA20"": 0.327275, ""RSI14"": 45.145799, ""SMA50"": 0.328237, ""Volume"": 11714432.0, ""EMA20"": 0.327706, ""Open"": 0.327798, ""Ret"": -0.00148}"
2026-08-06,01:17:18 IST,CRYPTO,ADA-USD,SHORT,SWING_1d,0.1895,10000,0.1933,0.1819,5,0.1935,2026-08-06 20:23:07 IST,-45.62,-2.41,CLOSED,41,68.09,Price>SMA20+EMA20<EMA50+2Red,#41SW Price>SMA20+EMA20<EMA50+2Red | SL Hit (intraday),"{""Volume"": 421094816.0, ""RSI14"": 63.659106, ""EMA20"": 0.174735, ""EMA9"": 0.181409, ""Low"": 0.189612, ""SMA50"": 0.165715, ""EMA50"": 0.175932, ""High"": 0.197316, ""2Red"": 1.0, ""Close"": 0.18953, ""SMA20"": 0.171762, ""Open"": 0.192801, ""Ret"": -0.01691}"
