rank,market,region,tf,direction,factors,bt_n,bt_wr,bt_net_pct,bt_avg_per_trade_pct,bt_recent_n,bt_recent_wr,bt_recent_net_pct,live_n,live_wins,live_losses,live_pnl,live_open,verdict
41,ADA,CRYPTO,SWING_1d,SHORT,Price>SMA20+EMA20<EMA50+2Red,7.0,28.6,-4.1,-0.586,1.0,0.0,-2.3,1.0,0.0,1.0,-45.62,0,CONSISTENT-LOSS ✘
1,TRX,CRYPTO,INTRADAY_1h,SHORT,EMA9>EMA20+Price>SMA20+RSI<50,36.0,44.4,-11.41,-0.317,8.0,62.5,-2.04,3.0,0.0,3.0,-61.81,0,CONSISTENT-LOSS ✘
1,BTC,CRYPTO,INTRADAY_1h,SHORT,EMA9>EMA20+Price>SMA20+RSI<50,39.0,38.5,-11.3,-0.29,12.0,25.0,-7.38,2.0,1.0,1.0,-106.71,0,CONSISTENT-LOSS ✘
5,XLC,US,SWING_1d,LONG,Close>Open+Range<1%,10.0,10.0,-9.56,-0.956,1.0,0.0,-2.02,3.0,2.0,1.0,-194.98,0,CONSISTENT-LOSS ✘
4,XLI,US,SWING_1d,LONG,Range<1%+SMA20<EMA20,9.0,33.3,-8.18,-0.909,3.0,33.3,-3.13,2.0,1.0,1.0,-609.55,0,CONSISTENT-LOSS ✘
25,Nasdaq100,US,INTRADAY_1h,LONG,Close>Open+2Red,9.0,33.3,-2.28,-0.254,1.0,0.0,-0.33,1.0,0.0,1.0,-936.8,0,CONSISTENT-LOSS ✘
75,XLK_Tech,US,SWING_1d,LONG,Price>SMA50+EMA9<EMA20,6.0,33.3,-4.02,-0.67,1.0,0.0,-2.02,1.0,0.0,1.0,-1012.37,0,CONSISTENT-LOSS ✘
7,AVAX,CRYPTO,SWING_1d,LONG,RSI>65+EMA9>EMA20+Close<Open,3.0,0.0,-5.11,-1.704,2.0,0.0,-2.81,1.0,0.0,1.0,-1281.36,1,CONSISTENT-LOSS ✘
2,LINK,CRYPTO,INTRADAY_1h,SHORT,EMA9>EMA20+Price>SMA20+RSI<50,35.0,40.0,-12.79,-0.365,4.0,50.0,-2.83,1.0,0.0,1.0,-1450.26,0,CONSISTENT-LOSS ✘
3,XLK_Tech,US,INTRADAY_1h,LONG,Price>SMA20+Price<SMA50+EMA9>EMA20,6.0,100.0,8.5,1.416,2.0,100.0,2.15,3.0,3.0,0.0,3562.2,0,CONSISTENT-PROFIT ✔
4,XLV,US,SWING_1d,LONG,EMA9>EMA20+Range<1%,6.0,83.3,14.46,2.41,2.0,100.0,7.96,2.0,2.0,0.0,3099.78,1,CONSISTENT-PROFIT ✔
52,QQQ,US,SWING_1d,LONG,Price>SMA20+EMA9<EMA20+Close>Open,4.0,50.0,3.92,0.98,2.0,50.0,1.96,1.0,1.0,0.0,1979.47,0,CONSISTENT-PROFIT ✔
32,ETH,CRYPTO,SWING_1d,LONG,Price<SMA20+Price>SMA50+2Red,8.0,50.0,3.4,0.424,2.0,100.0,3.91,2.0,2.0,0.0,1660.8000000000002,0,CONSISTENT-PROFIT ✔
5,QQQ,US,INTRADAY_1h,LONG,Price>SMA20+Price<SMA50+EMA9>EMA20+EMA20<EMA50,15.0,53.3,4.32,0.288,5.0,100.0,4.93,2.0,2.0,0.0,1574.17,0,CONSISTENT-PROFIT ✔
6,Nasdaq100,US,INTRADAY_1h,LONG,Price>SMA20+Price<SMA50+EMA9>EMA20+EMA20<EMA50,15.0,53.3,4.31,0.287,5.0,100.0,4.94,2.0,2.0,0.0,1445.93,0,CONSISTENT-PROFIT ✔
14,IWM,US,INTRADAY_1h,SHORT,Price<SMA50+EMA9>EMA20+EMA20<EMA50+Close>Open,3.0,66.7,1.49,0.495,1.0,100.0,1.37,1.0,1.0,0.0,1163.12,0,CONSISTENT-PROFIT ✔
36,DIA,US,INTRADAY_1h,LONG,Price<SMA50+EMA9>EMA20+Close<Open+2Red,10.0,70.0,2.45,0.245,3.0,33.3,0.79,4.0,2.0,2.0,1144.54,0,CONSISTENT-PROFIT ✔
16,SP500,US,INTRADAY_1h,LONG,Price>SMA20+EMA9>EMA20+EMA20<EMA50+Close>Open,28.0,71.4,9.68,0.346,4.0,75.0,2.31,3.0,2.0,1.0,1033.27,0,CONSISTENT-PROFIT ✔
5,XLP,US,SWING_1d,LONG,Range<1%+SMA20<EMA20,14.0,50.0,1.15,0.082,1.0,0.0,-0.34,1.0,1.0,0.0,733.41,0,CONSISTENT-PROFIT ✔
31,SPY,US,INTRADAY_1h,LONG,Price>SMA50+EMA20<EMA50+Close<Open,7.0,85.7,6.78,0.969,4.0,100.0,4.95,1.0,1.0,0.0,679.01,0,CONSISTENT-PROFIT ✔
1,XLY,US,SWING_1d,LONG,EMA9<EMA50+RSI>50,15.0,66.7,12.27,0.818,3.0,100.0,5.23,1.0,1.0,0.0,623.43,0,CONSISTENT-PROFIT ✔
3,PHLX_Semi,US,SWING_1d,LONG,Price<SMA50+EMA20<EMA50+Close<Open,10.0,50.0,9.8,0.98,8.0,37.5,1.84,4.0,2.0,2.0,616.4499999999999,1,CONSISTENT-PROFIT ✔
37,QQQ,US,SWING_1d,LONG,Price>SMA50+EMA9>EMA20+2Red,14.0,50.0,8.78,0.627,4.0,0.0,-5.57,2.0,1.0,1.0,614.0,0,CONSISTENT-PROFIT ✔
32,SPY,US,INTRADAY_1h,LONG,Price>SMA20+EMA9>EMA20+EMA20<EMA50+Close>Open,28.0,67.9,9.15,0.327,4.0,75.0,2.3,2.0,1.0,1.0,372.8699999999999,0,CONSISTENT-PROFIT ✔
13,DIA,US,INTRADAY_1h,LONG,RSI<45+EMA20>EMA50+Close<Open+2Red,39.0,59.0,4.42,0.113,8.0,12.5,-1.81,1.0,1.0,0.0,298.29,0,CONSISTENT-PROFIT ✔
3,NYSE_Comp,US,SWING_1d,LONG,Range<1%+SMA20<EMA20,43.0,51.2,12.21,0.284,14.0,64.3,4.24,3.0,2.0,1.0,280.81,1,CONSISTENT-PROFIT ✔
64,Nasdaq100,US,SWING_1d,LONG,Price>SMA50+SMA20<SMA50,20.0,60.0,18.29,0.915,11.0,27.3,-9.56,1.0,1.0,0.0,210.39,0,CONSISTENT-PROFIT ✔
28,XLK_Tech,US,SWING_1d,LONG,Price>SMA50+EMA20>EMA50+2Red,12.0,33.3,0.44,0.037,4.0,25.0,-1.4,1.0,1.0,0.0,194.6,0,CONSISTENT-PROFIT ✔
46,PHLX_Semi,US,SWING_1d,LONG,Price>EMA20+SMA20<SMA50,18.0,55.6,23.64,1.313,10.0,30.0,-2.2,1.0,1.0,0.0,171.41,0,CONSISTENT-PROFIT ✔
45,Nasdaq100,US,SWING_1d,LONG,Close>Open+2Red,4.0,50.0,2.72,0.679,1.0,100.0,2.4,1.0,1.0,0.0,137.82,0,CONSISTENT-PROFIT ✔
50,QQQ,US,SWING_1d,LONG,Price>SMA50+EMA9<EMA20,6.0,50.0,2.77,0.462,2.0,50.0,-1.15,1.0,1.0,0.0,95.48,0,CONSISTENT-PROFIT ✔
1,TRX,CRYPTO,SWING_1d,LONG,EMA9>EMA20+Price>SMA50+Range<1%,36.0,80.6,29.9,0.831,12.0,83.3,13.05,3.0,2.0,1.0,32.78,1,CONSISTENT-PROFIT ✔
49,Nasdaq100,US,SWING_1d,LONG,Price>SMA50+EMA9<EMA20,6.0,50.0,2.74,0.457,2.0,50.0,-1.18,1.0,0.0,1.0,-605.18,0,LIVE-LOSS-BT-PROFIT ~
4,SP100,US,SWING_1d,LONG,EMA9>EMA20+Price>SMA20+Range<1%,45.0,53.3,10.34,0.23,11.0,18.2,-6.23,3.0,0.0,3.0,-651.74,1,LIVE-LOSS-BT-PROFIT ~
31,Nasdaq100,US,SWING_1d,LONG,Price>SMA50+2Red,14.0,50.0,8.65,0.618,4.0,0.0,-5.57,2.0,0.0,2.0,-809.27,0,LIVE-LOSS-BT-PROFIT ~
2,Dow_Trans,US,SWING_1d,LONG,Price>SMA20+SMA20<SMA50,15.0,66.7,31.06,2.07,4.0,0.0,-6.72,1.0,0.0,1.0,-894.57,1,LIVE-LOSS-BT-PROFIT ~
43,PHLX_Semi,US,SWING_1d,LONG,RSI>50+SMA20<SMA50,15.0,53.3,17.7,1.18,7.0,14.3,-8.14,1.0,0.0,1.0,-988.87,0,LIVE-LOSS-BT-PROFIT ~
4,XLK,US,SWING_1d,LONG,Price>SMA20+SMA20<SMA50,24.0,54.2,25.24,1.052,14.0,21.4,-14.37,1.0,0.0,1.0,-999.82,0,LIVE-LOSS-BT-PROFIT ~
47,PHLX_Semi,US,SWING_1d,LONG,Price>SMA50+SMA20<SMA50,6.0,83.3,17.88,2.98,1.0,0.0,-2.02,1.0,0.0,1.0,-1035.78,0,LIVE-LOSS-BT-PROFIT ~
68,QQQ,US,SWING_1d,LONG,Price>SMA50+SMA20<SMA50,20.0,60.0,18.31,0.915,11.0,27.3,-9.51,1.0,0.0,1.0,-1043.56,0,LIVE-LOSS-BT-PROFIT ~
3,XLK,US,SWING_1d,LONG,RSI>50+SMA20<SMA50,21.0,61.9,31.3,1.49,11.0,27.3,-8.31,3.0,1.0,2.0,-1262.2,0,LIVE-LOSS-BT-PROFIT ~
1,AVAX,CRYPTO,INTRADAY_1h,SHORT,EMA9>EMA20+Price>SMA20+RSI<50,43.0,44.2,1.26,0.029,11.0,18.2,-7.19,2.0,0.0,2.0,-1954.63,0,LIVE-LOSS-BT-PROFIT ~
2,XLB,US,SWING_1d,LONG,EMA9>EMA20+Price>SMA20+Range<1%,8.0,37.5,-1.84,-0.23,3.0,66.7,4.29,2.0,1.0,1.0,298.37,0,LIVE-PROFIT-BT-LOSS ⚠
3,XLE,US,SWING_1d,LONG,EMA9>EMA50+Range<1%,1.0,0.0,-0.92,-0.915,1.0,0.0,-0.92,1.0,1.0,0.0,35.91,0,LIVE-PROFIT-BT-LOSS ⚠
4,ADA,CRYPTO,SWING_1d,SHORT,Price<SMA50+EMA9>EMA20+Range>1.5%,10.0,60.0,13.0,1.3,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
5,ADA,CRYPTO,SWING_1d,SHORT,Price<SMA50+EMA9>EMA20,10.0,60.0,13.0,1.3,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
6,ADA,CRYPTO,SWING_1d,SHORT,Price<SMA50+EMA9>EMA20+EMA20<EMA50,9.0,55.6,9.3,1.033,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
15,ADA,CRYPTO,INTRADAY_1h,SHORT,Price<SMA20+Price>SMA50+EMA9<EMA20+Range>1.5%,8.0,37.5,-0.9,-0.112,5.0,20.0,-4.5,,,,,0,NOT-TRADED-LIVE
15,ADA,CRYPTO,SWING_1d,SHORT,Price>SMA20+Price<SMA50+EMA9>EMA20,8.0,50.0,5.6,0.7,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
16,ADA,CRYPTO,INTRADAY_1h,SHORT,Price>SMA20+RSI<45,26.0,46.2,3.21,0.123,8.0,50.0,-1.44,,,,,0,NOT-TRADED-LIVE
44,ADA,CRYPTO,SWING_1d,SHORT,Price>SMA20+Price<SMA50+2Red,6.0,33.3,-1.8,-0.3,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
8,AVAX,CRYPTO,SWING_1d,LONG,RSI>65+Close<Open,3.0,0.0,-5.11,-1.704,2.0,0.0,-2.81,,,,,0,NOT-TRADED-LIVE
9,AVAX,CRYPTO,SWING_1d,LONG,RSI>65+Range>1.5%+Close<Open,3.0,0.0,-5.11,-1.704,2.0,0.0,-2.81,,,,,0,NOT-TRADED-LIVE
10,AVAX,CRYPTO,SWING_1d,SHORT,Price<SMA20+Price>SMA50+Close>Open,1.0,100.0,3.7,3.7,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
11,AVAX,CRYPTO,SWING_1d,LONG,RSI>65+EMA20>EMA50+Close<Open,3.0,0.0,-5.11,-1.704,2.0,0.0,-2.81,,,,,0,NOT-TRADED-LIVE
12,AVAX,CRYPTO,SWING_1d,LONG,RSI>65+Price>SMA20+Close<Open,3.0,0.0,-5.11,-1.704,2.0,0.0,-2.81,,,,,0,NOT-TRADED-LIVE
17,AVAX,CRYPTO,SWING_1d,LONG,RSI>65+Price>SMA50+Close<Open,3.0,0.0,-5.11,-1.704,2.0,0.0,-2.81,,,,,0,NOT-TRADED-LIVE
1,BNB,CRYPTO,INTRADAY_1h,SHORT,Price>SMA20+RSI<45,31.0,58.1,11.08,0.357,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
26,BNB,CRYPTO,SWING_1d,LONG,RSI<45+EMA20>EMA50+2Red,4.0,50.0,2.8,0.7,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
27,DIA,US,INTRADAY_1h,LONG,Price<SMA20+EMA9>EMA20+Close<Open+2Red,28.0,64.3,7.88,0.282,8.0,62.5,-0.23,,,,,0,NOT-TRADED-LIVE
34,DIA,US,INTRADAY_1h,LONG,Price<SMA50+EMA9>EMA20+EMA20>EMA50,17.0,70.6,1.69,0.099,2.0,0.0,-0.79,,,,,0,NOT-TRADED-LIVE
72,DIA,US,SWING_1d,LONG,EMA9>EMA20+EMA20<EMA50+Close<Open,3.0,100.0,6.65,2.218,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
73,DIA,US,SWING_1d,LONG,Price>EMA9+SMA20<SMA50,18.0,83.3,28.52,1.585,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
74,DIA,US,SWING_1d,LONG,EMA20<EMA50+Price>SMA20,10.0,90.0,19.07,1.907,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
75,DIA,US,SWING_1d,LONG,Price>SMA20+SMA20<SMA50,15.0,80.0,18.56,1.237,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
77,DIA,US,SWING_1d,LONG,EMA20<EMA50+RSI>50,8.0,87.5,11.82,1.477,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
1,DOGE,CRYPTO,INTRADAY_1h,SHORT,Price>SMA20+RSI<45,24.0,66.7,26.72,1.113,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
65,DOGE,CRYPTO,SWING_1d,SHORT,EMA9>EMA20+EMA20<EMA50+2Red,1.0,0.0,-2.3,-2.3,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
1,ETH,CRYPTO,INTRADAY_1h,SHORT,Price>SMA20+RSI<45,27.0,63.0,12.41,0.46,10.0,80.0,5.53,,,,,0,NOT-TRADED-LIVE
13,ETH,CRYPTO,SWING_1d,LONG,EMA20>EMA50+Range>1.5%+2Red,12.0,41.7,0.2,0.016,2.0,100.0,3.91,,,,,0,NOT-TRADED-LIVE
14,ETH,CRYPTO,SWING_1d,LONG,Price>SMA50+Range>1.5%+2Red,13.0,61.5,15.9,1.223,2.0,100.0,3.91,,,,,0,NOT-TRADED-LIVE
16,ETH,CRYPTO,SWING_1d,LONG,Price<SMA20+EMA20>EMA50+2Red,9.0,33.3,-4.9,-0.545,2.0,100.0,3.91,,,,,0,NOT-TRADED-LIVE
21,ETH,CRYPTO,SWING_1d,LONG,Price>SMA50+2Red,13.0,61.5,15.9,1.223,2.0,100.0,3.91,,,,,0,NOT-TRADED-LIVE
22,ETH,CRYPTO,SWING_1d,LONG,Price>SMA50+Close<Open+2Red,13.0,61.5,15.9,1.223,2.0,100.0,3.91,,,,,0,NOT-TRADED-LIVE
39,ETH,CRYPTO,SWING_1d,LONG,RSI<45+EMA20>EMA50+2Red,2.0,0.0,-4.6,-2.3,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
60,ETH,CRYPTO,SWING_1d,LONG,Price<SMA20+EMA9>EMA20+2Red,7.0,42.9,-0.3,-0.043,2.0,100.0,3.91,,,,,0,NOT-TRADED-LIVE
1,IBB,US,SWING_1d,LONG,EMA9<EMA50+Price>EMA20,15.0,46.7,2.48,0.166,0.0,0.0,0.0,,,,,0,NOT-TRADED-LIVE
