family,name,n,wr,net
SWING_1d,ADA#4,0,,0.0
SWING_1d,ADA#5,0,,0.0
SWING_1d,ADA#6,0,,0.0
SWING_1d,AVAX#10,0,,0.0
SWING_1d,ETH#14,2,100.0,3.91
SWING_1d,ADA#15,0,,0.0
SWING_1d,XLK_Tech#18,0,,0.0
SWING_1d,XLK_Tech#19,0,,0.0
SWING_1d,XLK_Tech#20,0,,0.0
SWING_1d,ETH#21,2,100.0,3.91
SWING_1d,ETH#22,2,100.0,3.91
SWING_1d,SOXX#24,0,,0.0
SWING_1d,XLK_Tech#25,4,25.0,-1.4
SWING_1d,XLK_Tech#27,4,25.0,-1.4
SWING_1d,XLK_Tech#28,4,25.0,-1.4
SWING_1d,QQQ#31,4,0.0,-4.87
SWING_1d,ETH#32,2,100.0,3.91
SWING_1d,QQQ#33,4,0.0,-4.87
SWING_1d,XLK_Tech#34,4,25.0,-1.4
SWING_1d,QQQ#35,6,33.3,-1.04
SWING_1d,XLK_Tech#36,4,25.0,-1.4
SWING_1d,QQQ#37,4,0.0,-4.87
SWING_1d,QQQ#38,4,0.0,-4.87
SWING_1d,XLV_Health#43,0,,0.0
SWING_1d,ADA#44,0,,0.0
SWING_1d,QQQ#45,1,100.0,2.42
SWING_1d,SPY#47,0,,0.0
SWING_1d,XLI_Indust#48,0,,0.0
SWING_1d,QQQ#49,2,50.0,-1.15
SWING_1d,QQQ#50,2,50.0,-1.15
SWING_1d,QQQ#52,2,50.0,1.96
SWING_1d,QQQ#54,0,,0.0
SWING_1d,XLC_Comm#55,0,,0.0
SWING_1d,XLRE_RE#57,1,0.0,-0.95
SWING_1d,QQQ#58,1,0.0,-2.02
SWING_1d,QQQ#59,1,100.0,2.42
SWING_1d,DOGE#65,0,,0.0
SWING_1d,BANKBEES.NS#66,0,,0.0
SWING_1d,BANKBEES.NS#67,0,,0.0
SWING_1d,SPY#68,0,,0.0
SWING_1d,DIA#72,0,,0.0
SWING_1d,XRP#81,0,,0.0
SWING_1d,XLF#1,0,,0.0
SWING_1d,XLF#2,0,,0.0
SWING_1d,XLF#3,0,,0.0
SWING_1d,SP100#1,1,100.0,3.98
SWING_1d,VTI#1,0,,0.0
