market,rank,tf,dir,ticker,n_full,wr_full,net_full,n150,net150,net30,verdict
ADA,4,SWING_1d,SHORT,ADA-USD,95.0,46.3,37.85,10.0,13.0,0.0,HEALTHY
ADA,5,SWING_1d,SHORT,ADA-USD,98.0,45.9,36.95,10.0,13.0,0.0,HEALTHY
ADA,6,SWING_1d,SHORT,ADA-USD,80.0,47.5,36.35,9.0,9.3,0.0,HEALTHY
AVAX,8,SWING_1d,LONG,AVAX-USD,54.0,22.2,-52.2,3.0,-6.9,-4.6,SICK
AVAX,9,SWING_1d,LONG,AVAX-USD,54.0,22.2,-52.2,3.0,-6.9,-4.6,SICK
AVAX,10,SWING_1d,SHORT,AVAX-USD,61.0,52.5,49.33,1.0,3.7,0.0,HEALTHY
AVAX,11,SWING_1d,LONG,AVAX-USD,53.0,22.6,-49.9,3.0,-6.9,-4.6,SICK
AVAX,12,SWING_1d,LONG,AVAX-USD,54.0,22.2,-52.2,3.0,-6.9,-4.6,SICK
ETH,13,SWING_1d,LONG,ETH-USD,179.0,36.9,-37.2,12.0,0.2,3.91,SICK
ETH,14,SWING_1d,LONG,ETH-USD,135.0,40.0,2.53,13.0,15.9,3.91,HEALTHY
ADA,15,SWING_1d,SHORT,ADA-USD,63.0,46.0,26.89,8.0,5.6,0.0,HEALTHY
ETH,16,SWING_1d,LONG,ETH-USD,107.0,38.3,-15.23,9.0,-4.9,3.91,SICK
AVAX,17,SWING_1d,LONG,AVAX-USD,54.0,22.2,-52.2,3.0,-6.9,-4.6,SICK
XLK_Tech,18,SWING_1d,LONG,XLK,219.0,43.8,68.79,2.0,7.96,0.0,HEALTHY
XLK_Tech,19,SWING_1d,LONG,XLK,219.0,43.8,68.79,2.0,7.96,0.0,HEALTHY
XLK_Tech,20,SWING_1d,LONG,XLK,218.0,43.6,67.38,2.0,7.96,0.0,HEALTHY
ETH,21,SWING_1d,LONG,ETH-USD,141.0,39.7,0.73,13.0,15.9,3.91,HEALTHY
ETH,22,SWING_1d,LONG,ETH-USD,141.0,39.7,0.73,13.0,15.9,3.91,HEALTHY
SOXX,24,SWING_1d,LONG,SOXX,56.0,58.9,70.02,3.0,11.94,0.0,HEALTHY
XLK_Tech,25,SWING_1d,LONG,XLK,114.0,57.0,95.07,12.0,0.44,-1.4,HEALTHY
BNB,26,SWING_1d,LONG,BNB-USD,58.0,39.7,-6.54,4.0,2.8,0.0,SICK
XLK_Tech,27,SWING_1d,LONG,XLK,111.0,55.9,83.13,12.0,0.44,-1.4,HEALTHY
XLK_Tech,28,SWING_1d,LONG,XLK,108.0,56.5,85.17,12.0,0.44,-1.4,HEALTHY
QQQ,31,SWING_1d,LONG,QQQ,138.0,57.2,90.81,14.0,9.45,-4.9,HEALTHY
ETH,32,SWING_1d,LONG,ETH-USD,48.0,47.9,23.0,8.0,3.4,3.91,HEALTHY
QQQ,33,SWING_1d,LONG,QQQ,136.0,57.4,88.85,14.0,9.45,-4.9,HEALTHY
XLK_Tech,34,SWING_1d,LONG,XLK,136.0,51.5,70.86,12.0,0.44,-1.4,HEALTHY
QQQ,35,SWING_1d,LONG,QQQ,156.0,56.4,85.42,16.0,11.88,-2.48,HEALTHY
XLK_Tech,36,SWING_1d,LONG,XLK,121.0,52.1,61.87,12.0,0.44,-1.4,HEALTHY
QQQ,37,SWING_1d,LONG,QQQ,136.0,57.4,88.85,14.0,9.45,-4.9,HEALTHY
QQQ,38,SWING_1d,LONG,QQQ,138.0,57.2,90.81,14.0,9.45,-4.9,HEALTHY
ETH,39,SWING_1d,LONG,ETH-USD,61.0,36.1,-18.83,2.0,-4.6,0.0,SICK
XLV_Health,43,SWING_1d,LONG,XLV,121.0,47.9,29.16,2.0,0.41,0.0,HEALTHY
ADA,44,SWING_1d,SHORT,ADA-USD,30.0,46.7,12.17,6.0,-1.8,0.0,WATCH
QQQ,45,SWING_1d,LONG,QQQ,50.0,50.0,23.18,4.0,2.76,2.42,HEALTHY
SPY,47,SWING_1d,LONG,SPY,63.0,76.2,78.31,6.0,16.91,0.0,HEALTHY
XLI_Indust,48,SWING_1d,LONG,XLI,57.0,73.7,59.42,2.0,0.04,0.0,HEALTHY
QQQ,49,SWING_1d,LONG,QQQ,52.0,55.8,19.13,6.0,2.77,-1.15,HEALTHY
QQQ,50,SWING_1d,LONG,QQQ,52.0,55.8,19.13,6.0,2.77,-1.15,HEALTHY
SPY,51,SWING_1d,LONG,SPY,63.0,76.2,78.31,6.0,16.91,0.0,HEALTHY
QQQ,52,SWING_1d,LONG,QQQ,57.0,56.1,27.36,4.0,3.92,1.96,HEALTHY
QQQ,54,SWING_1d,LONG,QQQ,34.0,55.9,17.24,3.0,-0.06,0.0,WATCH
XLC_Comm,55,SWING_1d,LONG,XLC,57.0,54.4,37.22,9.0,12.69,0.0,HEALTHY
XLRE_RE,57,SWING_1d,LONG,XLRE,40.0,52.5,13.18,1.0,0.68,0.68,HEALTHY
QQQ,58,SWING_1d,LONG,QQQ,38.0,57.9,15.08,2.0,-4.04,-2.02,WATCH
QQQ,59,SWING_1d,LONG,QQQ,38.0,55.3,26.68,4.0,2.76,2.42,HEALTHY
ETH,60,SWING_1d,LONG,ETH-USD,56.0,37.5,-7.4,7.0,-0.3,3.91,SICK
QQQ,63,SWING_1d,LONG,QQQ,34.0,55.9,19.1,3.0,4.38,2.42,HEALTHY
DOGE,65,SWING_1d,SHORT,DOGE-USD,45.0,48.9,30.1,1.0,-2.3,0.0,WATCH
BANKBEES.NS,66,SWING_1d,LONG,BANKBEES.NS,72.0,54.2,39.82,17.0,3.33,0.0,HEALTHY
BANKBEES.NS,67,SWING_1d,LONG,BANKBEES.NS,72.0,54.2,39.82,17.0,3.33,0.0,HEALTHY
SPY,68,SWING_1d,LONG,SPY,48.0,72.9,41.66,4.0,9.41,0.0,HEALTHY
DIA,72,SWING_1d,LONG,DIA,30.0,63.3,26.02,3.0,6.65,0.0,HEALTHY
XRP,81,SWING_1d,SHORT,XRP-USD,38.0,44.7,16.02,0.0,0.0,0.0,WATCH
XLF,1,SWING_1d,LONG,XLF,256.0,58.6,151.92,15.0,19.63,0.0,HEALTHY
XLF,2,SWING_1d,LONG,XLF,278.0,57.9,155.98,16.0,23.61,0.0,HEALTHY
XLF,3,SWING_1d,LONG,XLF,185.0,64.3,138.33,10.0,0.16,0.0,HEALTHY
SP100,1,SWING_1d,LONG,OEF,230.0,57.8,132.21,29.0,47.32,7.96,HEALTHY
VTI,1,SWING_1d,LONG,VTI,120.0,60.0,82.91,8.0,25.11,0.0,HEALTHY
XLK,1,SWING_1d,LONG,XLK,264.0,50.8,125.0,27.0,43.18,5.65,HEALTHY
SP100,2,SWING_1d,LONG,OEF,193.0,62.2,127.94,25.0,25.52,3.98,HEALTHY
XLF,4,SWING_1d,LONG,XLF,228.0,59.6,130.66,13.0,11.67,0.0,HEALTHY
XLK,2,SWING_1d,LONG,XLK,213.0,53.1,119.48,23.0,39.26,-4.33,HEALTHY
VTI,2,SWING_1d,LONG,VTI,210.0,59.0,107.98,13.0,27.71,0.0,HEALTHY
XLF,5,SWING_1d,LONG,XLF,141.0,68.8,119.33,10.0,0.16,0.0,HEALTHY
SPY,48,SWING_1d,LONG,SPY,230.0,60.4,120.25,16.0,39.62,0.0,HEALTHY
SPY,69,SWING_1d,LONG,SPY,230.0,60.4,120.25,16.0,39.62,0.0,HEALTHY
SPY,70,SWING_1d,LONG,SPY,191.0,63.9,120.19,13.0,28.32,0.0,HEALTHY
Russell1000,1,SWING_1d,LONG,IWB,238.0,58.0,118.74,16.0,38.42,0.0,HEALTHY
SPY,71,SWING_1d,LONG,SPY,204.0,61.3,117.46,13.0,28.32,0.0,HEALTHY
SP100,3,SWING_1d,LONG,OEF,206.0,58.7,118.03,27.0,23.48,3.98,HEALTHY
SPY,49,SWING_1d,LONG,SPY,191.0,63.9,120.19,13.0,28.32,0.0,HEALTHY
SPY,50,SWING_1d,LONG,SPY,204.0,61.3,117.46,13.0,28.32,0.0,HEALTHY
Russell1000,2,SWING_1d,LONG,IWB,207.0,58.9,115.25,13.0,27.41,0.0,HEALTHY
VTI,3,SWING_1d,LONG,VTI,337.0,54.0,24.23,40.0,11.83,-3.51,HEALTHY
VTI,4,SWING_1d,LONG,VTI,196.0,61.2,107.57,13.0,27.71,0.0,HEALTHY
SOXX,44,SWING_1d,LONG,SOXX,126.0,50.8,101.06,6.0,17.88,0.0,HEALTHY
SOXX,45,SWING_1d,LONG,SOXX,119.0,52.9,109.2,6.0,17.88,0.0,HEALTHY
XLK,3,SWING_1d,LONG,XLK,199.0,53.3,105.76,21.0,31.3,-8.31,HEALTHY
VTI,5,SWING_1d,LONG,VTI,243.0,58.4,115.62,16.0,38.91,0.0,HEALTHY
SP100,4,SWING_1d,LONG,OEF,472.0,58.5,101.73,45.0,11.6,-4.97,HEALTHY
XLK,4,SWING_1d,LONG,XLK,226.0,50.4,99.17,24.0,25.24,-14.37,HEALTHY
DIA,73,SWING_1d,LONG,DIA,252.0,59.5,102.0,18.0,28.52,0.0,HEALTHY
SP100,5,SWING_1d,LONG,OEF,180.0,61.7,110.24,24.0,21.54,3.98,HEALTHY
SOXX,47,SWING_1d,LONG,SOXX,112.0,50.0,89.92,6.0,23.88,0.0,HEALTHY
Russell1000,3,SWING_1d,LONG,IWB,193.0,60.1,106.36,13.0,27.41,0.0,HEALTHY
SPY,72,SWING_1d,LONG,SPY,177.0,63.8,106.6,11.0,20.36,0.0,HEALTHY
SPY,73,SWING_1d,LONG,SPY,155.0,67.1,107.34,11.0,20.36,0.0,HEALTHY
Russell1000,4,SWING_1d,LONG,IWB,182.0,60.4,104.71,11.0,19.45,0.0,HEALTHY
XLK,5,SWING_1d,LONG,XLK,146.0,56.2,106.77,7.0,27.86,0.0,HEALTHY
QQQ,60,SWING_1d,LONG,QQQ,188.0,53.2,90.91,24.0,33.34,-2.45,HEALTHY
SPY,51,SWING_1d,LONG,SPY,177.0,63.8,106.6,11.0,20.36,0.0,HEALTHY
XLP,1,SWING_1d,LONG,XLP,205.0,64.4,99.06,17.0,4.08,0.0,HEALTHY
SPY,52,SWING_1d,LONG,SPY,134.0,67.9,96.74,11.0,20.36,0.0,HEALTHY
DIA,74,SWING_1d,LONG,DIA,145.0,63.4,88.18,10.0,19.07,0.0,HEALTHY
Russell1000,5,SWING_1d,LONG,IWB,163.0,62.0,97.66,11.0,19.45,0.0,HEALTHY
QQQ,64,SWING_1d,LONG,QQQ,188.0,53.2,90.91,24.0,33.34,-2.45,HEALTHY
QQQ,61,SWING_1d,LONG,QQQ,224.0,50.4,92.21,26.0,39.99,4.27,HEALTHY
QQQ,62,SWING_1d,LONG,QQQ,172.0,54.1,88.27,23.0,25.03,-2.79,HEALTHY
QQQ,65,SWING_1d,LONG,QQQ,224.0,50.4,92.21,26.0,39.99,4.27,HEALTHY
QQQ,66,SWING_1d,LONG,QQQ,172.0,54.1,88.27,23.0,25.03,-2.79,HEALTHY
XLI,1,SWING_1d,LONG,XLI,145.0,60.0,83.53,5.0,8.41,0.0,HEALTHY
DIA,75,SWING_1d,LONG,DIA,215.0,59.5,82.04,15.0,18.56,0.0,HEALTHY
XLRE,1,SWING_1d,LONG,XLRE,189.0,53.4,85.41,5.0,14.64,0.0,HEALTHY
DIA,77,SWING_1d,LONG,DIA,119.0,67.2,84.73,8.0,11.82,0.0,HEALTHY
XLRE,2,SWING_1d,LONG,XLRE,234.0,52.6,81.18,7.0,22.36,0.0,HEALTHY
QQQ,63,SWING_1d,LONG,QQQ,130.0,56.9,80.22,14.0,9.45,-4.9,HEALTHY
QQQ,64,SWING_1d,LONG,QQQ,129.0,55.0,73.23,20.0,18.98,-8.84,HEALTHY
QQQ,67,SWING_1d,LONG,QQQ,130.0,56.9,80.22,14.0,9.45,-4.9,HEALTHY
QQQ,68,SWING_1d,LONG,QQQ,129.0,55.0,73.23,20.0,18.98,-8.84,HEALTHY
XLRE,3,SWING_1d,LONG,XLRE,178.0,55.1,75.0,7.0,22.36,0.0,HEALTHY
XLRE,4,SWING_1d,LONG,XLRE,133.0,57.1,73.9,5.0,14.64,0.0,HEALTHY
XLP,2,SWING_1d,LONG,XLP,265.0,60.8,75.95,25.0,1.46,0.0,HEALTHY
XLI,2,SWING_1d,LONG,XLI,223.0,55.6,74.42,16.0,2.87,0.0,HEALTHY
XLP,3,SWING_1d,LONG,XLP,186.0,61.3,75.07,13.0,5.72,0.0,HEALTHY
XLRE,5,SWING_1d,LONG,XLRE,141.0,56.0,70.63,3.0,10.23,0.0,HEALTHY
XLI,3,SWING_1d,LONG,XLI,113.0,63.7,75.65,3.0,0.45,0.0,HEALTHY
XLP,4,SWING_1d,LONG,XLP,228.0,61.8,73.72,5.0,7.46,0.0,HEALTHY
XLI,5,SWING_1d,LONG,XLI,133.0,60.2,69.77,3.0,0.45,0.0,HEALTHY
XLC,2,SWING_1d,LONG,XLC,302.0,53.6,69.9,12.0,-14.69,-2.02,WATCH
XLC,3,SWING_1d,LONG,XLC,283.0,54.1,65.75,12.0,-7.4,-2.02,WATCH
XLP,5,SWING_1d,LONG,XLP,335.0,57.0,61.26,14.0,1.15,-0.34,HEALTHY
XLC,4,SWING_1d,LONG,XLC,297.0,53.5,61.86,13.0,-13.96,0.26,WATCH
XLU,1,SWING_1d,LONG,XLU,285.0,53.3,65.0,28.0,-8.08,0.0,WATCH
IJH,1,SWING_1d,LONG,IJH,81.0,66.7,58.38,4.0,10.26,0.0,HEALTHY
IJH,2,SWING_1d,LONG,IJH,73.0,67.1,48.6,3.0,6.28,0.0,HEALTHY
IWM,1,SWING_1d,LONG,IWM,239.0,49.8,63.43,13.0,39.15,0.0,HEALTHY
IWM,2,SWING_1d,LONG,IWM,121.0,57.9,65.33,9.0,23.23,0.0,HEALTHY
XLY,1,SWING_1d,LONG,XLY,102.0,58.8,66.56,15.0,12.27,5.23,HEALTHY
IJH,3,SWING_1d,LONG,IJH,150.0,56.7,42.21,10.0,11.18,0.0,HEALTHY
IWM,3,SWING_1d,LONG,IWM,268.0,48.1,50.88,14.0,43.13,0.0,HEALTHY
IJH,4,SWING_1d,LONG,IJH,79.0,63.3,50.97,3.0,6.28,0.0,HEALTHY
XLB,1,SWING_1d,LONG,XLB,121.0,56.2,56.39,1.0,-2.02,-2.02,WATCH
IWM,4,SWING_1d,LONG,IWM,218.0,49.5,50.2,13.0,39.15,0.0,HEALTHY
IJH,5,SWING_1d,LONG,IJH,147.0,55.1,54.34,7.0,22.2,0.0,HEALTHY
XLU,2,SWING_1d,LONG,XLU,136.0,58.8,56.38,7.0,-3.52,0.0,WATCH
XLU,3,SWING_1d,LONG,XLU,213.0,53.1,60.18,14.0,0.91,0.0,HEALTHY
XLU,4,SWING_1d,LONG,XLU,201.0,54.7,52.43,18.0,-17.56,0.0,WATCH
TRX,1,SWING_1d,LONG,TRX-USD,89.0,68.5,63.56,36.0,29.23,12.38,HEALTHY
TRX,2,SWING_1d,LONG,TRX-USD,98.0,68.4,65.63,40.0,32.23,14.62,HEALTHY
IWM,5,SWING_1d,LONG,IWM,191.0,50.8,54.16,12.0,35.17,0.0,HEALTHY
XLY,2,SWING_1d,LONG,XLY,143.0,54.5,54.99,24.0,0.93,3.44,HEALTHY
TRX,3,SWING_1d,LONG,TRX-USD,101.0,67.3,61.34,40.0,29.04,12.68,HEALTHY
TRX,4,SWING_1d,LONG,TRX-USD,87.0,66.7,56.87,33.0,22.09,8.66,HEALTHY
TRX,5,SWING_1d,LONG,TRX-USD,87.0,65.5,53.89,29.0,26.06,7.29,HEALTHY
XLU,5,SWING_1d,LONG,XLU,173.0,49.7,49.71,10.0,6.19,0.0,HEALTHY
XLV,1,SWING_1d,LONG,XLV,162.0,53.1,35.86,8.0,4.48,0.0,HEALTHY
XLY,3,SWING_1d,LONG,XLY,124.0,52.4,46.18,17.0,14.23,5.23,HEALTHY
XLV,2,SWING_1d,LONG,XLV,121.0,53.7,30.41,12.0,8.15,0.0,HEALTHY
XLV,3,SWING_1d,LONG,XLV,230.0,52.2,35.36,24.0,-2.35,0.0,WATCH
XLY,4,SWING_1d,LONG,XLY,164.0,50.6,36.63,25.0,4.91,3.44,HEALTHY
IBB,1,SWING_1d,LONG,IBB,172.0,48.8,23.53,15.0,2.48,0.0,HEALTHY
KBE,1,SWING_1d,LONG,KBE,129.0,47.3,43.59,6.0,14.92,0.0,HEALTHY
XLU,1,SWING_1d,LONG,XLU,151.0,45.7,10.8,9.0,3.08,0.0,HEALTHY
XLV,4,SWING_1d,LONG,XLV,296.0,52.4,23.77,7.0,14.82,8.32,HEALTHY
XLB,2,SWING_1d,LONG,XLB,206.0,51.9,28.85,8.0,-1.84,4.29,WATCH
XLE,1,SWING_1d,LONG,XLE,39.0,48.7,19.2,1.0,-2.02,-2.02,WATCH
XLV,5,SWING_1d,LONG,XLV,103.0,51.5,16.98,8.0,-3.32,0.0,WATCH
XLE,2,SWING_1d,LONG,XLE,45.0,44.4,17.02,1.0,-2.02,-2.02,WATCH
