ticker,date,entry,exit,ret_pct
INFY.NS,2026-08-04,1168.4,TIME,-0.984
TITAN.NS,2026-08-04,4894.2,TIME,-0.218
BRITANNIA.NS,2026-08-04,5464.0,TIME,-0.321
BAJAJ-AUTO.NS,2026-08-04,11595.0,TIME,-0.336
DIVISLAB.NS,2026-08-04,8403.0,SL,-1.62
DRREDDY.NS,2026-08-04,1164.7,TIME,-0.326
HINDUNILVR.NS,2026-08-04,2106.8,TIME,-0.02
ASIANPAINT.NS,2026-08-04,2779.9,TIME,0.563
TATACONSUM.NS,2026-08-04,1096.6,TIME,-0.102
CIPLA.NS,2026-08-04,1460.1,TIME,0.044
JSWSTEEL.NS,2026-08-04,1277.8,TIME,0.287
AXISBANK.NS,2026-08-04,1253.0,TIME,0.327
SBILIFE.NS,2026-08-04,1884.1,TIME,0.321
HDFCLIFE.NS,2026-08-04,547.9,TIME,-0.658
BAJAJFINSV.NS,2026-08-04,2078.0,TIME,-0.12
M&M.NS,2026-08-04,3417.7,TIME,0.114
NTPC.NS,2026-08-04,347.5,TIME,0.038
GRASIM.NS,2026-08-04,3160.7,TIME,-0.332
KOTAKBANK.NS,2026-08-04,394.85,TIME,0.235
ULTRACEMCO.NS,2026-08-04,11921.0,TIME,0.408
UPL.NS,2026-08-04,605.1,SL,-1.62
BEL.NS,2026-08-04,390.15,TIME,0.739
PFC.NS,2026-08-04,417.75,TIME,0.371
BAJAJHLDNG.NS,2026-08-04,11519.0,TIME,-0.172
ABFRL.NS,2026-08-04,61.39,TIME,0.45
TCS.NS,2026-08-04,2446.9,TIME,-0.345
BPCL.NS,2026-08-04,324.35,TIME,0.173
ICICIBANK.NS,2026-08-04,1447.4,TIME,-0.196
FEDERALBNK.NS,2026-08-04,360.25,TIME,-0.3
AUBANK.NS,2026-08-04,1043.3,TIME,0.359
IDFCFIRSTB.NS,2026-08-04,84.94,TIME,1.128
INDUSINDBK.NS,2026-08-04,1018.6,TIME,0.508
FEDERALBNK.NS,2026-08-05,359.55,TIME,-0.287
BEL.NS,2026-08-05,392.7,TIME,-0.833
NTPC.NS,2026-08-05,343.45,TIME,1.059
APOLLOHOSP.NS,2026-08-05,8892.0,TIME,-0.086
PFC.NS,2026-08-05,421.0,TIME,-0.595
UPL.NS,2026-08-05,581.0,TIME,-0.129
BAJAJHLDNG.NS,2026-08-05,11450.0,TIME,0.876
SBILIFE.NS,2026-08-05,1875.0,TIME,0.419
ABFRL.NS,2026-08-05,61.2,TIME,1.514
BRITANNIA.NS,2026-08-05,5427.0,TIME,0.424
GRASIM.NS,2026-08-05,3145.0,TIME,0.777
BAJAJ-AUTO.NS,2026-08-05,11619.0,TIME,0.241
IDFCFIRSTB.NS,2026-08-05,85.92,TIME,-0.329
CIPLA.NS,2026-08-05,1454.0,TIME,-0.244
DIVISLAB.NS,2026-08-05,8415.5,TIME,-0.845
NESTLEIND.NS,2026-08-05,1515.0,TIME,-0.12
BPCL.NS,2026-08-05,326.45,TIME,-0.181
KOTAKBANK.NS,2026-08-05,395.2,TIME,0.133
TITAN.NS,2026-08-05,4903.2,TIME,-0.163
HDFCBANK.NS,2026-08-05,739.1,TIME,-0.201
TCS.NS,2026-08-05,2458.5,TIME,-1.178
ICICIBANK.NS,2026-08-05,1446.0,TIME,-0.293
APOLLOHOSP.NS,2026-08-06,8920.5,TIME,0.536
CUMMINSIND.NS,2026-08-06,5224.0,TP,2.88
HDFCBANK.NS,2026-08-06,738.65,TIME,-0.621
FEDERALBNK.NS,2026-08-06,355.5,TIME,-0.711
BHARTIARTL.NS,2026-08-06,1957.2,TIME,0.304
TITAN.NS,2026-08-06,4899.9,TIME,1.476
BAJAJ-AUTO.NS,2026-08-06,11715.0,TIME,-0.12
HEROMOTOCO.NS,2026-08-06,5643.0,TIME,0.172
BRITANNIA.NS,2026-08-06,5439.5,TIME,-0.589
NESTLEIND.NS,2026-08-06,1530.4,TIME,-0.355
KOTAKBANK.NS,2026-08-06,396.85,TIME,-0.12
TATACONSUM.NS,2026-08-06,1092.2,TIME,0.347
SBILIFE.NS,2026-08-06,1869.9,TIME,0.265
ADANIENSOL.NS,2026-08-06,1619.8,TIME,0.732
TVSMOTOR.NS,2026-08-06,4411.0,TIME,0.052
POWERGRID.NS,2026-08-06,279.0,SL,-1.62
BAJAJFINSV.NS,2026-08-06,2074.6,TIME,0.391
MARUTI.NS,2026-08-06,14102.0,TIME,0.079
NTPC.NS,2026-08-06,347.15,TIME,-0.754
WIPRO.NS,2026-08-06,187.42,TIME,-0.792
KEI.NS,2026-08-06,5512.5,TIME,0.051
BAJAJFINSV.NS,2026-08-07,2017.1,TIME,-0.184
POWERGRID.NS,2026-08-07,268.8,TIME,0.698
NTPC.NS,2026-08-07,345.0,TIME,-0.12
DIVISLAB.NS,2026-08-07,8290.5,TIME,-0.09
IDFCFIRSTB.NS,2026-08-07,84.45,TIME,0.2
BHARTIARTL.NS,2026-08-07,1942.9,TIME,0.122
KEI.NS,2026-08-07,5544.4,TIME,0.953
BAJFINANCE.NS,2026-08-07,1095.5,TIME,0.227
WIPRO.NS,2026-08-07,185.86,TIME,0.714
BAJAJ-AUTO.NS,2026-08-07,11582.0,TIME,0.726
HEROMOTOCO.NS,2026-08-07,5587.5,TIME,2.054
NMDC.NS,2026-08-07,85.59,TIME,-0.728
INDUSINDBK.NS,2026-08-07,1010.0,TIME,-0.011
KOTAKBANK.NS,2026-08-07,393.45,TIME,-0.45
TATACONSUM.NS,2026-08-07,1086.8,TIME,-0.313
PIDILITIND.NS,2026-08-07,1670.8,TIME,-0.21
OFSS.NS,2026-08-07,11746.0,TIME,-0.656
FEDERALBNK.NS,2026-08-07,351.85,TIME,-0.035
CANBK.NS,2026-08-07,131.63,TIME,-0.036
MARUTI.NS,2026-08-07,13875.0,TIME,0.565
CHOLAFIN.NS,2026-08-07,1909.7,TIME,-0.052
TVSMOTOR.NS,2026-08-07,4399.8,TIME,0.766
INFY.NS,2026-08-07,1164.7,TIME,0.816
HINDALCO.NS,2026-08-07,1026.2,TIME,0.387
ADANIENSOL.NS,2026-08-07,1619.5,TIME,0.294
SBILIFE.NS,2026-08-07,1861.4,TIME,-0.023
NMDC.NS,2026-08-10,85.0,TIME,1.692
CANBK.NS,2026-08-10,132.39,SL,-1.62
RECLTD.NS,2026-08-10,360.3,TIME,-1.064
KEI.NS,2026-08-10,5599.8,TIME,-0.493
PFC.NS,2026-08-10,407.6,TIME,-1.494
DIVISLAB.NS,2026-08-10,8277.5,TIME,0.194
IDFCFIRSTB.NS,2026-08-10,84.6,TIME,0.045
BAJFINANCE.NS,2026-08-10,1077.9,TIME,-0.129
GRASIM.NS,2026-08-10,3384.0,TIME,0.04
ULTRACEMCO.NS,2026-08-10,11932.0,TIME,0.618
CHOLAFIN.NS,2026-08-10,1872.1,TIME,0.777
KOTAKBANK.NS,2026-08-10,391.2,TIME,-0.938
POWERGRID.NS,2026-08-10,271.05,TIME,-0.6
ABFRL.NS,2026-08-10,60.68,SL,-1.62
ASIANPAINT.NS,2026-08-10,2717.2,TIME,0.34
PIDILITIND.NS,2026-08-10,1658.1,TIME,0.459
INFY.NS,2026-08-10,1178.5,TIME,0.729
SAIL.NS,2026-08-11,171.64,TIME,-0.551
PFC.NS,2026-08-11,385.85,TIME,-0.91
RECLTD.NS,2026-08-11,344.8,TIME,-0.758
BPCL.NS,2026-08-11,316.95,TIME,0.211
CHOLAFIN.NS,2026-08-11,1897.6,TIME,0.549
ULTRACEMCO.NS,2026-08-11,12038.0,TIME,-0.776
RECLTD.NS,2026-08-12,342.8,TIME,-0.835
CHOLAFIN.NS,2026-08-12,1899.5,TIME,-0.378
BPCL.NS,2026-08-12,317.1,TIME,-1.113
INDIGO.NS,2026-08-12,5246.5,TIME,-0.206
MPHASIS.NS,2026-08-13,2500.4,TIME,-0.056
OFSS.NS,2026-08-13,11590.0,TIME,-0.474
PERSISTENT.NS,2026-08-13,5424.5,TIME,0.829
UPL.NS,2026-08-13,567.45,TIME,-0.64
RECLTD.NS,2026-08-13,343.35,TIME,-0.149
INFY.NS,2026-08-13,1163.6,TIME,0.035
