tf,market,rank,direction,factors,proxy,proxy_region,n_full,wr_full,net_full,n_150d,wr_150d,net_150d,net_30d,verdict
SWING_1d,PHLX_Semi,1,LONG,EMA20<EMA50+Close<Open,SOXX,US,214.0,41.6,90.76,11.0,45.5,5.26,1.28,WEAK
SWING_1d,PHLX_Semi,2,LONG,EMA20<EMA50+Range>1.5%+Close<Open,SOXX,US,196.0,41.3,84.52,10.0,50.0,7.28,3.3,WEAK
SWING_1d,PHLX_Semi,3,LONG,Price<SMA50+EMA20<EMA50+Close<Open,SOXX,US,191.0,41.9,85.32,11.0,45.5,5.26,1.28,WEAK
SWING_1d,PHLX_Semi,23,LONG,Close>Open+2Red,SOXX,US,59.0,50.8,49.77,2.0,100.0,7.96,0.0,WEAK
SWING_1d,PHLX_Semi,24,LONG,Price<SMA20+Price>SMA50+2Red,SOXX,US,56.0,58.9,70.02,3.0,100.0,11.94,0.0,PASS
SWING_1d,PHLX_Semi,29,LONG,Price>SMA50+Close>Open+2Red,SOXX,US,39.0,53.8,39.97,1.0,100.0,3.98,0.0,WEAK
SWING_1d,PHLX_Semi,30,LONG,EMA20>EMA50+Close>Open+2Red,SOXX,US,41.0,56.1,48.3,2.0,100.0,7.96,0.0,WEAK
SWING_1d,Nasdaq100,31,LONG,Price>SMA50+2Red,QQQ,US,138.0,57.2,90.71,14.0,50.0,9.35,-5.0,PASS
SWING_1d,Nasdaq100,33,LONG,Price>SMA50+EMA9>EMA20+2Red,QQQ,US,136.0,57.4,88.75,14.0,50.0,9.35,-5.0,PASS
SWING_1d,Nasdaq100,35,LONG,EMA9>EMA20+2Red,QQQ,US,156.0,55.8,85.23,16.0,50.0,11.68,-2.68,PASS
SWING_1d,PHLX_Semi,40,LONG,Price<SMA20+Close>Open+2Red,SOXX,US,39.0,51.3,28.47,1.0,100.0,3.98,0.0,WEAK
SWING_1d,PHLX_Semi,42,LONG,Range>1.5%+Close>Open+2Red,SOXX,US,50.0,48.0,33.52,2.0,100.0,7.96,0.0,WEAK
SWING_1d,Nasdaq100,45,LONG,Close>Open+2Red,QQQ,US,50.0,50.0,23.18,4.0,50.0,2.76,2.42,PASS
SWING_1d,SP500,47,LONG,Price>SMA20+Price>SMA50+EMA20<EMA50,SPY,US,63.0,76.2,78.31,6.0,100.0,16.91,0.0,PASS
SWING_1d,Nasdaq100,49,LONG,Price>SMA50+EMA9<EMA20,QQQ,US,52.0,55.8,19.13,6.0,50.0,2.77,-1.15,PASS
SWING_1d,Nasdaq100,53,LONG,Price>SMA50+EMA9<EMA20+EMA20>EMA50,QQQ,US,34.0,55.9,17.24,3.0,33.3,-0.06,0.0,WEAK
SWING_1d,Nasdaq100,56,LONG,Price>SMA50+EMA9<EMA20+Close>Open,QQQ,US,38.0,57.9,15.08,2.0,0.0,-4.04,-2.02,WEAK
SWING_1d,Nasdaq100,59,LONG,EMA20>EMA50+Close>Open+2Red,QQQ,US,38.0,55.3,26.68,4.0,50.0,2.76,2.42,PASS
SWING_1d,Bank Nifty Yahoo,61,SHORT,Price<SMA50+EMA20>EMA50+Close>Open,BANKBEES.NS,INDIAN,48.0,29.2,-31.12,1.0,100.0,0.05,0.05,FAIL
SWING_1d,Bank Nifty,62,SHORT,Price<SMA50+EMA20>EMA50+Close>Open,BANKBEES.NS,INDIAN,48.0,29.2,-31.12,1.0,100.0,0.05,0.05,FAIL
SWING_1d,Sensex,64,LONG,Price<SMA50+Range>1.5%+Close<Open,,,,,,,,,,FAIL-no-proxy
SWING_1d,Bank Nifty Yahoo,66,LONG,Price>SMA20+EMA20<EMA50+Range>1.5%,BANKBEES.NS,INDIAN,72.0,54.2,39.82,17.0,52.9,3.33,0.0,PASS
SWING_1d,Bank Nifty,67,LONG,Price>SMA20+EMA20<EMA50+Range>1.5%,BANKBEES.NS,INDIAN,72.0,54.2,39.82,17.0,52.9,3.33,0.0,PASS
SWING_1d,Sensex,69,LONG,Price<SMA50+Range>1.5%+2Red,,,,,,,,,,FAIL-no-proxy
SWING_1d,Sensex,70,SHORT,Price<SMA50+EMA9>EMA20+2Red,,,,,,,,,,FAIL-no-proxy
SWING_1d,Sensex,71,LONG,RSI<45+Range>1.5%+Close<Open,,,,,,,,,,FAIL-no-proxy
SWING_1d,Bank Nifty,73,SHORT,RSI<45+EMA20>EMA50+Close>Open,BANKBEES.NS,INDIAN,17.0,29.4,-5.02,0.0,0.0,0.0,0.0,FAIL
SWING_1d,Bank Nifty Yahoo,74,SHORT,RSI<45+EMA20>EMA50+Close>Open,BANKBEES.NS,INDIAN,17.0,29.4,-5.02,0.0,0.0,0.0,0.0,FAIL
SWING_1d,Sensex,76,LONG,Price>SMA20+EMA9<EMA20+Close<Open,,,,,,,,,,FAIL-no-proxy
SWING_1d,Sensex,77,LONG,EMA9>EMA20+Range>1.5%+Close<Open,,,,,,,,,,FAIL-no-proxy
SWING_1d,Nifty 50 Yahoo,78,LONG,EMA9>EMA20+Range>1.5%+Close<Open,NIFTYBEES.NS,INDIAN,226.0,41.6,-37.15,8.0,62.5,-0.61,-0.71,FAIL
SWING_1d,GIFT Nifty,79,LONG,EMA9>EMA20+Range>1.5%+Close<Open,NIFTYBEES.NS,INDIAN,226.0,41.6,-37.15,8.0,62.5,-0.61,-0.71,FAIL
SWING_1d,Nifty 50,80,LONG,EMA9>EMA20+Range>1.5%+Close<Open,NIFTYBEES.NS,INDIAN,226.0,41.6,-37.15,8.0,62.5,-0.61,-0.71,FAIL
SWING_1d,NYSE_Comp,1,LONG,EMA20<EMA50+Price>SMA20,VTI,US,120.0,60.0,82.91,8.0,100.0,25.11,0.0,PASS
SWING_1d,NYSE_Comp,2,LONG,Price>SMA20+SMA20<SMA50,VTI,US,210.0,59.0,107.98,13.0,92.3,27.71,0.0,PASS
SWING_1d,SP500,48,LONG,Price>EMA9+SMA20<SMA50,SPY,US,230.0,60.4,120.25,16.0,100.0,39.62,0.0,PASS
SWING_1d,SP500,49,LONG,Price>EMA20+SMA20<SMA50,SPY,US,191.0,63.9,120.19,13.0,100.0,28.32,0.0,PASS
SWING_1d,SP500,50,LONG,Price>SMA20+SMA20<SMA50,SPY,US,204.0,61.3,117.46,13.0,100.0,28.32,0.0,PASS
SWING_1d,NYSE_Comp,3,LONG,Range<1%+SMA20<EMA20,VTI,US,337.0,54.0,24.04,40.0,50.0,11.64,-3.7,PASS
SWING_1d,PHLX_Semi,43,LONG,RSI>50+SMA20<SMA50,SOXX,US,186.0,44.6,89.99,14.0,50.0,13.72,-12.12,WEAK
