variant,ticker,entry_date,hold_sessions,exit,ret_pct
DIP,SWIGGY.NS,2025-01-21,2,TP,4.88
DIP,NTPCGREEN.NS,2025-01-10,3,TP,4.88
DIP,SANSTAR.NS,2024-08-01,1,TP,4.88
DIP,DOMS.NS,2023-12-26,10,TP,4.88
DIP,BLS.NS,2023-09-26,4,SL,-8.12
SHORT,CSM.NS,2026-07-06,3,TP,7.88
DIP,BAJAJHFL.NS,2024-09-19,1,TP,4.88
DIP,PREMIERENE.NS,2025-01-28,1,TP,4.88
DIP,FIRSTCRY.NS,2024-08-20,20,TIME,1.09
SHORT,INNOVISION.NS,2026-03-25,1,TP,7.88
SHORT,FRACTAL.NS,2026-02-18,7,TP,7.88
SHORT,AMAGI.NS,2026-01-23,11,SL,-5.12
SHORT,SRTL.NS,2026-03-05,2,TP,7.88
SHORT,LEAPIND.NS,2026-08-18,1,SL,-5.12
SHORT,OMPOWER.NS,2026-04-21,13,TP,7.88
SHORT,CORDELIA.NS,2026-07-03,1,TP,7.88
DIP,KUSUMGAR.NS,2026-07-20,3,TP,4.88
SHORT,TURTLEMINT.NS,2026-07-01,1,TP,7.88
SHORT,ALPINETEX.NS,2026-07-23,2,TP,7.88
BREAK,JNPR.NS,2026-08-20,3,TIME,-5.526
BREAK,MANIPALHOS.NS,2026-08-07,11,TIME,12.396
BREAK,LASERPOWER.NS,2026-07-17,26,TIME,16.072
BREAK,LCL.NS,2026-07-31,16,TIME,9.569
BREAK,KNACK.NS,2026-07-09,32,TIME,0.84
BREAK,XTRANET.NS,2026-08-10,4,TP,19.88
BREAK,DHOOTTRANS.NS,2026-08-18,5,TIME,16.422
BREAK,MILKYMIST.NS,2026-08-19,4,TIME,1.017
DIP,BLEL.NS,2026-08-24,1,TIME,-2.261
BREAK,MOLBIO.NS,2026-08-18,5,TIME,10.362
