Date,Time_IST,Mode,Ticker,Direction,TimeFrame,Entry_Price,Qty,SL,Target,MaxHold,Exit_Price,Exit_Time,P&L,P&L_%,Status,Pattern_Rank,Expected_WinRate,Pattern_Factors,Reason
2026-07-27,23:32:56 IST,US,DIA,LONG,INTRADAY_1h,520.27,191,515.06,530.67,6,515.06,12:21:41 IST,-1014.98,-1.02,CLOSED,36,67.86,Price<SMA50+EMA9>EMA20+Close<Open+2Red,#36ID Price<SMA50+EMA9>EMA20+Close<Open+2Red | SL Hit (intraday)
2026-07-28,23:22:38 IST,US,IWM,SHORT,INTRADAY_1h,293.1,337,296.03,287.24,6,293.09,01:14:16 IST,-16.38,-0.02,CLOSED,14,63.41,Price<SMA50+EMA9>EMA20+EMA20<EMA50+Close>Open,#14ID Price<SMA50+EMA9>EMA20+EMA20<EMA50+Close>Open | Expiry 25h
2026-07-29,01:14:15 IST,US,QQQ,LONG,SWING_1d,676.32,73,662.79,703.37,5,662.79,01:58:29 IST,-997.56,-2.02,CLOSED,46,69.39,Close>Open+2Red,#46SW Close>Open+2Red | SL Hit (intraday)
2026-07-29,01:14:16 IST,US,IWM,LONG,INTRADAY_1h,293.09,337,290.16,298.95,6,290.16,17:18:55 IST,-1007.16,-1.02,CLOSED,30,62.42,Price>SMA50+EMA9>EMA20+EMA20<EMA50+Close>Open,#30ID Price>SMA50+EMA9>EMA20+EMA20<EMA50+Close>Open | SL Hit (intraday)
2026-07-29,01:14:16 IST,US,^GSPC,LONG,INTRADAY_1h,7435.34,13,7360.99,7584.05,6,7360.99,17:18:52 IST,-985.88,-1.02,CLOSED,16,62.35,Price>SMA20+EMA9>EMA20+EMA20<EMA50+Close>Open,#16ID Price>SMA20+EMA9>EMA20+EMA20<EMA50+Close>Open | SL Hit (intraday)
2026-07-29,01:14:16 IST,US,SPY,LONG,INTRADAY_1h,741.2,133,733.79,756.02,6,733.79,17:18:52 IST,-1005.25,-1.02,CLOSED,32,60.24,Price>SMA20+EMA9>EMA20+EMA20<EMA50+Close>Open,#32ID Price>SMA20+EMA9>EMA20+EMA20<EMA50+Close>Open | SL Hit (intraday)
2026-07-29,20:11:02 IST,US,DIA,LONG,INTRADAY_1h,518.47,184,513.28,528.83,6,513.28,20:59:00 IST,-974.04,-1.02,CLOSED,36,67.86,Price<SMA50+EMA9>EMA20+Close<Open+2Red,#36ID Price<SMA50+EMA9>EMA20+Close<Open+2Red | SL Hit (intraday)
2026-07-29,20:59:02 IST,US,DIA,LONG,INTRADAY_1h,518.55,183,513.37,528.93,6,513.37,21:32:29 IST,-966.92,-1.02,CLOSED,36,67.86,Price<SMA50+EMA9>EMA20+Close<Open+2Red,#36ID Price<SMA50+EMA9>EMA20+Close<Open+2Red | SL Hit (intraday)
2026-07-29,21:32:32 IST,US,DIA,LONG,INTRADAY_1h,517.9,181,512.72,528.26,6,512.72,22:16:11 IST,-956.33,-1.02,CLOSED,36,67.86,Price<SMA50+EMA9>EMA20+Close<Open+2Red,#36ID Price<SMA50+EMA9>EMA20+Close<Open+2Red | SL Hit (intraday)
2026-07-29,22:16:13 IST,US,DIA,LONG,INTRADAY_1h,517.88,179,512.7,528.24,6,512.7,23:17:08 IST,-945.76,-1.02,CLOSED,13,60.16,RSI<45+EMA20>EMA50+Close<Open+2Red,#13ID RSI<45+EMA20>EMA50+Close<Open+2Red | SL Hit (intraday)
2026-07-30,01:05:35 IST,US,^SOX,LONG,SWING_1d,10658.62,4,10445.45,11084.96,5,11084.96,01:58:29 IST,1696.83,3.98,CLOSED,3,60.59,Price<SMA50+EMA20<EMA50+Close<Open,#3SW Price<SMA50+EMA20<EMA50+Close<Open | Target Hit
