ticker,rank,tf,date,dir,pnl,verdict
OEF,4,SWING_1d,2026-08-07,LONG,-76.67,OK
OEF,4,SWING_1d,2026-08-13,LONG,-126.33,OK
TRX-USD,1,SWING_1d,2026-08-11,LONG,-15.49,OK
QQQ,68,SWING_1d,2026-08-17,LONG,-1043.56,OK
OEF,4,SWING_1d,2026-08-18,LONG,-448.74,OK
AVAX-USD,1,INTRADAY_1h,2026-08-18,SHORT,-536.17,OK
XLK,3,SWING_1d,2026-08-18,LONG,-1052.15,"ENTRY 190.80 outside bar [184.33,187.50] @00:00"
BLS.NS,936,IPO_1d,2026-08-18,LONG,770.3,OK
QQQ,37,SWING_1d,2026-08-19,LONG,-311.52,OK
XLK,3,SWING_1d,2026-08-19,LONG,-615.18,OK
KUSUMGAR.NS,936,IPO_1d,2026-08-19,LONG,-806.99,OK
MOLBIO.NS,938,IPO_1d,2026-08-20,LONG,194.17,OK
JNPR.NS,938,IPO_1d,2026-08-20,LONG,-88.61,OK
TRX-USD,1,SWING_1d,2026-08-23,LONG,-100.54,OK
BLEL.NS,936,IPO_1d,2026-08-24,LONG,-5105.38,OK
XLK,4,SWING_1d,2026-08-24,LONG,-999.82,"ENTRY 183.33 outside bar [178.82,181.88] @00:00"
AVAX-USD,1,INTRADAY_1h,2026-08-25,SHORT,-1418.46,OK
