market,rank,tf,dir,status,n_full,wr_full,net_full,n150,net150,net30,note
PHLX_Semi,3,SWING_1d,LONG,STILL-PROFIT ✔,183,44.3,102.17,11,11.33,3.37,| ETF-swap:WEAK
XLK_Tech,28,SWING_1d,LONG,STILL-PROFIT ✔,108,56.5,85.17,12,0.44,-1.4,
ETH,32,SWING_1d,LONG,STILL-PROFIT ✔,48,47.9,23.0,8,3.4,3.91,
QQQ,37,SWING_1d,LONG,STILL-PROFIT ✔,136,57.4,88.76,14,9.36,-4.99,
Nasdaq100,45,SWING_1d,LONG,STILL-PROFIT ✔,46,56.5,35.27,4,2.72,2.4,| ETF-swap:PASS
QQQ,50,SWING_1d,LONG,STILL-PROFIT ✔,52,55.8,19.13,6,2.77,-1.15,
QQQ,52,SWING_1d,LONG,STILL-PROFIT ✔,57,56.1,27.36,4,3.92,1.96,
NYSE_Comp,3,SWING_1d,LONG,STILL-PROFIT ✔,395,60.5,114.52,43,11.5,3.53,| ETF-swap:WEAK
PHLX_Semi,46,SWING_1d,LONG,STILL-PROFIT ✔,208,45.2,106.83,18,23.64,-2.2,| ETF-swap:WEAK
Nasdaq100,64,SWING_1d,LONG,STILL-PROFIT ✔,127,57.5,78.22,20,18.89,-8.96,| ETF-swap:PASS
XLP,5,SWING_1d,LONG,STILL-PROFIT ✔,335,57.0,61.26,14,1.15,-0.34,
XLY,1,SWING_1d,LONG,STILL-PROFIT ✔,102,58.8,66.56,15,12.27,5.23,
TRX,1,SWING_1d,LONG,STILL-PROFIT ✔,89,68.5,63.53,36,29.2,12.35,
XLV,4,SWING_1d,LONG,STILL-PROFIT ✔,296,52.4,23.68,7,14.73,8.23,
XLK_Tech,3,INTRADAY_1h,LONG,STILL-PROFIT ✔,154,64.3,54.29,6,8.5,2.15,
QQQ,5,INTRADAY_1h,LONG,STILL-PROFIT ✔,108,61.1,31.93,15,4.32,4.93,
Nasdaq100,6,INTRADAY_1h,LONG,STILL-PROFIT ✔,105,61.0,30.66,15,4.31,4.94,| ETF-swap:PASS
DIA,13,INTRADAY_1h,LONG,STILL-PROFIT ✔,177,53.7,1.55,39,4.42,-1.81,
IWM,14,INTRADAY_1h,SHORT,STILL-PROFIT ✔,54,53.7,11.98,3,1.49,1.37,
SP500,16,INTRADAY_1h,LONG,STILL-PROFIT ✔,217,62.2,41.48,28,9.68,2.31,| ETF-swap:PASS
SPY,31,INTRADAY_1h,LONG,STILL-PROFIT ✔,85,56.5,17.18,7,6.78,4.95,
SPY,32,INTRADAY_1h,LONG,STILL-PROFIT ✔,212,59.4,30.64,28,9.15,2.3,
DIA,36,INTRADAY_1h,LONG,STILL-PROFIT ✔,75,52.0,2.25,10,2.45,0.79,
